time,open,high,low,close
2022-11-28T14:00:00+05:30,18608.1,18610.15,18573.7,18595.85
2022-11-28T15:00:00+05:30,18595.6,18595.6,18546.9,18562.75
2022-11-29T09:00:00+05:30,18552.45,18631.65,18552.15,18625.55
2022-11-29T10:00:00+05:30,18626.2,18649.5,18617.7,18647.95
2022-11-29T11:00:00+05:30,18648.55,18662.6,18635.35,18643.2
2022-11-29T12:00:00+05:30,18643.35,18672.95,18643,18657.5
2022-11-29T13:00:00+05:30,18657.6,18678.1,18654.7,18663.25
2022-11-29T14:00:00+05:30,18663.6,18664.1,18619.85,18634.05
2022-11-29T15:00:00+05:30,18633.5,18639.65,18602.7,18618.05
2022-11-30T09:00:00+05:30,18625.7,18679.55,18616.55,18629.95
2022-11-30T10:00:00+05:30,18629.9,18649.75,18617.55,18632.7
2022-11-30T11:00:00+05:30,18632.3,18664,18625.85,18647.7
2022-11-30T12:00:00+05:30,18646.4,18657.55,18638.9,18655.55
2022-11-30T13:00:00+05:30,18656.15,18675.7,18654.85,18663.9
2022-11-30T14:00:00+05:30,18664.35,18701.7,18652.95,18675.95
2022-11-30T15:00:00+05:30,18676.4,18816.05,18676.4,18758.35
2022-12-01T09:00:00+05:30,18871.95,18887.6,18832.85,18842.85
2022-12-01T10:00:00+05:30,18843,18846.15,18816.65,18843.2
2022-12-01T11:00:00+05:30,18842.95,18845.95,18817.75,18821.35
2022-12-01T12:00:00+05:30,18821.85,18855.7,18817.65,18843.3
2022-12-01T13:00:00+05:30,18843.25,18853.1,18778.2,18792.75
2022-12-01T14:00:00+05:30,18792.45,18845.3,18790.1,18831.85
2022-12-01T15:00:00+05:30,18832.5,18838,18795.95,18812.5
2022-12-02T09:00:00+05:30,18752.4,18781.95,18700.9,18712.9
2022-12-02T10:00:00+05:30,18713.35,18721.15,18689.7,18700.9
2022-12-02T11:00:00+05:30,18700.65,18711.5,18644.1,18650.25
2022-12-02T12:00:00+05:30,18649.95,18671.65,18639.2,18671.65
2022-12-02T13:00:00+05:30,18672.35,18697.25,18655.9,18689.25
2022-12-02T14:00:00+05:30,18689.5,18705.8,18675.95,18693.55
2022-12-02T15:00:00+05:30,18693.75,18708.15,18679.4,18696.1
2022-12-05T09:00:00+05:30,18719.55,18728.6,18601.35,18602.4
2022-12-05T10:00:00+05:30,18603.15,18633.75,18591.35,18626.55
2022-12-05T11:00:00+05:30,18626.7,18654.5,18620.3,18646
2022-12-05T12:00:00+05:30,18645.6,18719,18645.2,18683.05
2022-12-05T13:00:00+05:30,18682.8,18694.05,18635.4,18643.75
2022-12-05T14:00:00+05:30,18643.4,18688.4,18629.95,18673.5
2022-12-05T15:00:00+05:30,18673.6,18723.6,18673.6,18701.05
2022-12-06T09:00:00+05:30,18600.65,18640.35,18577.9,18630
2022-12-06T10:00:00+05:30,18629.75,18648.05,18612.7,18633.7
2022-12-06T11:00:00+05:30,18634,18634.5,18599.3,18603.2
2022-12-06T12:00:00+05:30,18602.7,18617.35,18585.65,18589.95
2022-12-06T13:00:00+05:30,18590.1,18641.1,18588.75,18608
2022-12-06T14:00:00+05:30,18608.1,18627.4,18596.5,18606.35
2022-12-06T15:00:00+05:30,18607.7,18654.9,18605.85,18642.75
2022-12-07T09:00:00+05:30,18638.85,18655.3,18608.45,18648.55
2022-12-07T10:00:00+05:30,18648.6,18668.3,18567.05,18580.65
2022-12-07T11:00:00+05:30,18580.45,18592.55,18564.5,18582.7
2022-12-07T12:00:00+05:30,18582.45,18597.75,18569.4,18595.05
2022-12-07T13:00:00+05:30,18595.25,18614.8,18579.45,18589.7
2022-12-07T14:00:00+05:30,18589.9,18618.95,18566.5,18612.25
2022-12-07T15:00:00+05:30,18616,18616,18528.4,18560.5
2022-12-08T09:00:00+05:30,18570.85,18612.15,18536.95,18608.5
2022-12-08T10:00:00+05:30,18607.85,18625,18566.55,18575.7
2022-12-08T11:00:00+05:30,18575.45,18588.85,18570,18576.15
2022-12-08T12:00:00+05:30,18576.6,18595.85,18551.5,18571.25
2022-12-08T13:00:00+05:30,18571.5,18596.05,18568.6,18584.55
2022-12-08T14:00:00+05:30,18586.05,18610.65,18577.95,18589.1
2022-12-08T15:00:00+05:30,18590.1,18620,18587,18609.35
2022-12-09T09:00:00+05:30,18662.4,18664.7,18607.4,18626.3
2022-12-09T10:00:00+05:30,18626.05,18635.3,18548.35,18556.45
2022-12-09T11:00:00+05:30,18556.35,18566,18537.45,18552.8
2022-12-09T12:00:00+05:30,18552.65,18568.55,18454.75,18486.4
2022-12-09T13:00:00+05:30,18484.2,18499.95,18459.3,18470.75
2022-12-09T14:00:00+05:30,18471.55,18479.6,18410.1,18463.8
2022-12-09T15:00:00+05:30,18464.5,18512.2,18464.5,18496.6
2022-12-12T09:00:00+05:30,18402.15,18492.95,18345.7,18466.15
2022-12-12T10:00:00+05:30,18464.35,18521.55,18463.8,18505.15
2022-12-12T11:00:00+05:30,18505.35,18516.9,18475.45,18489.05
2022-12-12T12:00:00+05:30,18488.75,18511.15,18476.35,18485.9
2022-12-12T13:00:00+05:30,18486,18495.6,18442.5,18457.75
2022-12-12T14:00:00+05:30,18457.95,18467.55,18426.45,18445.65
2022-12-12T15:00:00+05:30,18446.6,18510.3,18446.6,18497.15
2022-12-13T09:00:00+05:30,18524.4,18540.85,18490.2,18508.2
2022-12-13T10:00:00+05:30,18508.9,18546.4,18506.4,18543.35
2022-12-13T11:00:00+05:30,18543.25,18592.7,18540.15,18583.9
2022-12-13T12:00:00+05:30,18584.35,18595.2,18570.75,18588.6
2022-12-13T13:00:00+05:30,18589.25,18608.9,18578.5,18593.5
2022-12-13T14:00:00+05:30,18594.05,18596.9,18563.1,18582.55
2022-12-13T15:00:00+05:30,18583.05,18617.25,18582.3,18608
2022-12-14T09:00:00+05:30,18671.25,18696.1,18651.65,18669.3
2022-12-14T10:00:00+05:30,18668.8,18677.6,18654.95,18667.55
2022-12-14T11:00:00+05:30,18668.5,18690.2,18665.2,18683.65
2022-12-14T12:00:00+05:30,18684,18692.3,18670.55,18672.4
2022-12-14T13:00:00+05:30,18671.9,18683.7,18638.55,18645.95
2022-12-14T14:00:00+05:30,18646.05,18670.2,18632.9,18668.2
2022-12-14T15:00:00+05:30,18669.15,18676.35,18640.2,18660.3
2022-12-15T09:00:00+05:30,18614.4,18652.9,18569.25,18576.15
2022-12-15T10:00:00+05:30,18576.45,18593.7,18558.9,18570.65
2022-12-15T11:00:00+05:30,18570.35,18584.7,18548.95,18552.65
2022-12-15T12:00:00+05:30,18552.5,18554.45,18515.35,18521.55
2022-12-15T13:00:00+05:30,18521.9,18538.45,18497.15,18504.75
2022-12-15T14:00:00+05:30,18505.25,18527.5,18409.25,18435.3
2022-12-15T15:00:00+05:30,18437.65,18451.7,18387.7,18414.9
2022-12-16T09:00:00+05:30,18319.1,18440.95,18299.55,18379.25
2022-12-16T10:00:00+05:30,18379.45,18389.55,18276.3,18287.35
2022-12-16T11:00:00+05:30,18287.2,18343.8,18270.95,18309.85
2022-12-16T12:00:00+05:30,18309.7,18410.8,18301.1,18384.3
2022-12-16T13:00:00+05:30,18384.05,18409.3,18314.75,18319.85
2022-12-16T14:00:00+05:30,18320.15,18356.05,18265.55,18275.85
2022-12-16T15:00:00+05:30,18276.95,18313.9,18255.15,18269
2022-12-19T09:00:00+05:30,18288.1,18322.15,18244.55,18312.8
2022-12-19T10:00:00+05:30,18312.45,18358.85,18312.45,18326.55
2022-12-19T11:00:00+05:30,18326.1,18372.15,18322.95,18365.95
2022-12-19T12:00:00+05:30,18365.4,18383.65,18338.5,18342.45
2022-12-19T13:00:00+05:30,18341.7,18375.65,18322.05,18369.25
2022-12-19T14:00:00+05:30,18369.2,18411.3,18352.25,18407.6
2022-12-19T15:00:00+05:30,18407.3,18431.65,18404.95,18420.45
2022-12-20T09:00:00+05:30,18340.3,18355.2,18213.55,18218.2
2022-12-20T10:00:00+05:30,18216.9,18250.8,18210.3,18228.4
2022-12-20T11:00:00+05:30,18227.75,18236.75,18202.65,18216.8
2022-12-20T12:00:00+05:30,18216.9,18281.35,18216.5,18261.8
2022-12-20T13:00:00+05:30,18261.55,18291.9,18247.35,18279.55
2022-12-20T14:00:00+05:30,18279.65,18344.4,18278.3,18336.9
2022-12-20T15:00:00+05:30,18335.05,18404.9,18335.05,18385.3
2022-12-21T09:00:00+05:30,18435.15,18473.35,18368.2,18378.95
2022-12-21T10:00:00+05:30,18379.1,18405.5,18339,18349.2
2022-12-21T11:00:00+05:30,18350.25,18387.05,18340.8,18367.65
2022-12-21T12:00:00+05:30,18367.6,18367.85,18267.7,18269.8
2022-12-21T13:00:00+05:30,18269.95,18308.25,18162.75,18191.25
2022-12-21T14:00:00+05:30,18192.9,18284.4,18172.15,18217.9
2022-12-21T15:00:00+05:30,18216.6,18240.35,18176.95,18199.1
2022-12-22T09:00:00+05:30,18288.8,18318.75,18171.45,18230.7
2022-12-22T10:00:00+05:30,18230.65,18235.05,18111.85,18114.35
2022-12-22T11:00:00+05:30,18114.05,18157.55,18080.65,18089.75
2022-12-22T12:00:00+05:30,18090.6,18116.95,18068.6,18081.1
2022-12-22T13:00:00+05:30,18081.8,18172.65,18075.35,18141.95
2022-12-22T14:00:00+05:30,18141.15,18182.75,18093,18102.9
2022-12-22T15:00:00+05:30,18102.45,18152.65,18098.85,18127.35
2022-12-23T09:00:00+05:30,17977.65,18050.45,17965.65,17975.2
2022-12-23T10:00:00+05:30,17973.8,17979,17912.75,17946.35
2022-12-23T11:00:00+05:30,17947,17959.8,17857.1,17870.5
2022-12-23T12:00:00+05:30,17870.65,17933.4,17870.25,17897.3
2022-12-23T13:00:00+05:30,17897.1,17922.2,17851.4,17863
2022-12-23T14:00:00+05:30,17863.6,17883.6,17815.4,17820.1
2022-12-23T15:00:00+05:30,17819.85,17832.2,17779.5,17806.8
2022-12-26T09:00:00+05:30,17830.4,17958.2,17774.25,17933.75
2022-12-26T10:00:00+05:30,17933.95,17961.45,17907.45,17959.75
2022-12-26T11:00:00+05:30,17960.5,18004.95,17948.15,17991.1
2022-12-26T12:00:00+05:30,17992.6,18006.25,17963.45,17982.65
2022-12-26T13:00:00+05:30,17984.15,18014.65,17974,17986.75
2022-12-26T14:00:00+05:30,17987.05,18084.1,17987.05,18081
2022-12-26T15:00:00+05:30,18081.95,18081.95,17984.55,18014.6
2022-12-27T09:00:00+05:30,18089.8,18134.05,17967.45,18002.2
2022-12-27T10:00:00+05:30,18003.1,18051.9,17979.1,18048.6
2022-12-27T11:00:00+05:30,18048.45,18062.8,18029.2,18054.55
2022-12-27T12:00:00+05:30,18054.7,18071.6,18014.85,18028
2022-12-27T13:00:00+05:30,18027.6,18112.05,18022.05,18102.45
2022-12-27T14:00:00+05:30,18102.55,18142.05,18073.45,18124.6
2022-12-27T15:00:00+05:30,18127.5,18149.25,18106.7,18132.3
2022-12-28T09:00:00+05:30,18084.75,18137.45,18068.35,18132.05
2022-12-28T10:00:00+05:30,18131.2,18146.8,18089.5,18127.9
2022-12-28T11:00:00+05:30,18127.4,18151.15,18119.05,18146.6
2022-12-28T12:00:00+05:30,18145.15,18152.75,18124.8,18138.25
2022-12-28T13:00:00+05:30,18138.6,18166.15,18115.45,18157.4
2022-12-28T14:00:00+05:30,18157.3,18173.1,18101.85,18117.5
2022-12-28T15:00:00+05:30,18113.5,18149,18106.45,18122.5
2022-12-29T09:00:00+05:30,18045.7,18061,18004,18021.05
2022-12-29T10:00:00+05:30,18021.85,18028.65,17992.8,18012.85
2022-12-29T11:00:00+05:30,18013.15,18050.15,18007.95,18035.9
2022-12-29T12:00:00+05:30,18035.1,18038.05,18008.35,18020.3
2022-12-29T13:00:00+05:30,18020.25,18093,18019.9,18092.35
2022-12-29T14:00:00+05:30,18091.7,18157.3,18073.6,18139.95
2022-12-29T15:00:00+05:30,18140.85,18229.7,18140.85,18191
2022-12-30T09:00:00+05:30,18259.1,18265.25,18210.75,18247.8
2022-12-30T10:00:00+05:30,18246.85,18252.45,18217.25,18226.65
